YEAR,MONTH,Alabama - SFH,Alaska - SFH,Arizona - SFH,Arkansas - SFH,California - SFH,Colorado - SFH,Connecticut - SFH,Delaware - SFH,Florida - SFH,Georgia - SFH,Idaho - SFH,Illinois - SFH,Indiana - SFH,Iowa - SFH,Kansas - SFH,Kentucky - SFH,Louisiana - SFH,Maine - SFH,Maryland - SFH,Massachusetts - SFH,Michigan - SFH,Minnesota - SFH,Mississippi - SFH,Missouri - SFH,Montana - SFH,Nebraska - SFH,Nevada - SFH,New Hampshire - SFH,New Jersey - SFH,New Mexico - SFH,New York - SFH,North Carolina - SFH,North Dakota - SFH,Ohio - SFH,Oklahoma - SFH,Oregon - SFH,Pennsylvania - SFH,Rhode Island - SFH,South Carolina - SFH,South Dakota - SFH,Tennessee - SFH,Texas - SFH,United States - SFH,Utah - SFH,Vermont - SFH,Virginia - SFH,Washington - SFH,West Virginia - SFH,Wisconsin - SFH,Wyoming - SFH,Alabama - MFH,Alaska - MFH,Arizona - MFH,Arkansas - MFH,California - MFH,Colorado - MFH,Connecticut - MFH,Delaware - MFH,Florida - MFH,Georgia - MFH,Idaho - MFH,Illinois - MFH,Indiana - MFH,Iowa - MFH,Kansas - MFH,Kentucky - MFH,Louisiana - MFH,Maine - MFH,Maryland - MFH,Massachusetts - MFH,Michigan - MFH,Minnesota - MFH,Mississippi - MFH,Missouri - MFH,Montana - MFH,Nebraska - MFH,Nevada - MFH,New Hampshire - MFH,New Jersey - MFH,New Mexico - MFH,New York - MFH,North Carolina - MFH,North Dakota - MFH,Ohio - MFH,Oklahoma - MFH,Oregon - MFH,Pennsylvania - MFH,Rhode Island - MFH,South Carolina - MFH,South Dakota - MFH,Tennessee - MFH,Texas - MFH,United States - MFH,Utah - MFH,Vermont - MFH,Virginia - MFH,Washington - MFH,West Virginia - MFH,Wisconsin - MFH,Wyoming - MFH,Alabama - L_MFH,Alaska - L_MFH,Arizona - L_MFH,Arkansas - L_MFH,California - L_MFH,Colorado - L_MFH,Connecticut - L_MFH,Delaware - L_MFH,Florida - L_MFH,Georgia - L_MFH,Idaho - L_MFH,Illinois - L_MFH,Indiana - L_MFH,Iowa - L_MFH,Kansas - L_MFH,Kentucky - L_MFH,Louisiana - L_MFH,Maine - L_MFH,Maryland - L_MFH,Massachusetts - L_MFH,Michigan - L_MFH,Minnesota - L_MFH,Mississippi - L_MFH,Missouri - L_MFH,Montana - L_MFH,Nebraska - L_MFH,Nevada - L_MFH,New Hampshire - L_MFH,New Jersey - L_MFH,New Mexico - L_MFH,New York - L_MFH,North Carolina - L_MFH,North Dakota - L_MFH,Ohio - L_MFH,Oklahoma - L_MFH,Oregon - L_MFH,Pennsylvania - L_MFH,Rhode Island - L_MFH,South Carolina - L_MFH,South Dakota - L_MFH,Tennessee - L_MFH,Texas - L_MFH,United States - L_MFH,Utah - L_MFH,Vermont - L_MFH,Virginia - L_MFH,Washington - L_MFH,West Virginia - L_MFH,Wisconsin - L_MFH,Wyoming - L_MFH,Alabama - S_MFH,Alaska - S_MFH,Arizona - S_MFH,Arkansas - S_MFH,California - S_MFH,Colorado - S_MFH,Connecticut - S_MFH,Delaware - S_MFH,Florida - S_MFH,Georgia - S_MFH,Idaho - S_MFH,Illinois - S_MFH,Indiana - S_MFH,Iowa - S_MFH,Kansas - S_MFH,Kentucky - S_MFH,Louisiana - S_MFH,Maine - S_MFH,Maryland - S_MFH,Massachusetts - S_MFH,Michigan - S_MFH,Minnesota - S_MFH,Mississippi - S_MFH,Missouri - S_MFH,Montana - S_MFH,Nebraska - S_MFH,Nevada - S_MFH,New Hampshire - S_MFH,New Jersey - S_MFH,New Mexico - S_MFH,New York - S_MFH,North Carolina - S_MFH,North Dakota - S_MFH,Ohio - S_MFH,Oklahoma - S_MFH,Oregon - S_MFH,Pennsylvania - S_MFH,Rhode Island - S_MFH,South Carolina - S_MFH,South Dakota - S_MFH,Tennessee - S_MFH,Texas - S_MFH,United States - S_MFH,Utah - S_MFH,Vermont - S_MFH,Virginia - S_MFH,Washington - S_MFH,West Virginia - S_MFH,Wisconsin - S_MFH,Wyoming - S_MFH,Alabama - TOT,Alaska - TOT,Arizona - TOT,Arkansas - TOT,California - TOT,Colorado - TOT,Connecticut - TOT,Delaware - TOT,Florida - TOT,Georgia - TOT,Idaho - TOT,Illinois - TOT,Indiana - TOT,Iowa - TOT,Kansas - TOT,Kentucky - TOT,Louisiana - TOT,Maine - TOT,Maryland - TOT,Massachusetts - TOT,Michigan - TOT,Minnesota - TOT,Mississippi - TOT,Missouri - TOT,Montana - TOT,Nebraska - TOT,Nevada - TOT,New Hampshire - TOT,New Jersey - TOT,New Mexico - TOT,New York - TOT,North Carolina - TOT,North Dakota - TOT,Ohio - TOT,Oklahoma - TOT,Oregon - TOT,Pennsylvania - TOT,Rhode Island - TOT,South Carolina - TOT,South Dakota - TOT,Tennessee - TOT,Texas - TOT,United States - TOT,Utah - TOT,Vermont - TOT,Virginia - TOT,Washington - TOT,West Virginia - TOT,Wisconsin - TOT,Wyoming - TOT
1960,5,9469,1222,13837,2646,151208,14085,19113,3486,49152,15951,1450,49652,20968,7481,5180,10060,10470,2105,21227,18977,36756,15344,3554,14775,1935,5448,3144,1351,33525,3617,46721,9124,2692,67610,6937,7708,29116,3361,2542,1537,8439,48684,861710,7067,379,31621,16320,2272,14975,1900,123,110,2050,77,45352,2817,1662,0,5182,3873,46,12324,269,625,99,363,642,107,9001,716,1330,3792,2731,1614,182,872,1700,15,5314,126,59118,451,127,10569,407,4658,2729,309,99,42,1381,2909,196646,775,12,910,1188,0,4393,83,12,0,1626,0,32740,2351,1261,0,3100,3555,0,9654,168,141,0,153,307,0,8951,259,1079,3108,2642,642,60,456,1476,0,3236,52,49409,189,35,8755,100,4162,1560,160,0,0,846,2155,152046,411,0,653,612,0,2727,0,111,110,424,77,12612,466,401,0,2082,318,46,2670,101,484,99,210,335,107,50,457,251,684,89,972,122,416,224,15,2078,74,9709,262,92,1814,307,496,1169,149,99,42,535,754,44600,364,12,257,576,0,1666,83,9592,1332,15887,2723,196560,16904,20776,3486,54334,19824,1496,61976,21237,8107,5279,10423,11112,2211,30228,19693,38086,19133,6285,16389,2117,6320,4844,1366,38838,3743,105839,9575,2819,78179,7344,12366,31845,3669,2640,1579,9819,51593,1058357,7841,391,32530,17508,2272,19367,1983
1960,6,8343,1940,17203,3034,138116,11510,18853,2279,70153,13490,1545,52627,22815,7258,5375,10621,14779,1775,20340,20462,39153,15175,3370,15688,1476,5808,5306,1816,36140,4852,46001,9396,2108,56510,7448,8033,28534,4010,2089,1705,9048,49376,869554,6477,262,25715,16293,1871,16326,2081,1257,31,1831,29,66147,2255,1486,48,6369,3769,116,8109,341,1716,610,371,881,75,904,968,453,1692,338,1811,491,494,411,0,3030,256,22185,418,122,6697,182,1470,1816,16,13,100,949,3265,152515,767,0,2116,1316,56,2785,17,1219,0,1258,0,55686,1443,1120,0,3089,3480,0,5131,55,1500,198,147,359,0,854,405,73,1107,294,781,380,283,232,0,883,103,13157,125,33,4507,98,951,766,0,0,0,499,2328,108269,132,0,1569,782,0,1333,0,38,31,573,29,10461,812,366,48,3280,289,116,2978,286,216,412,224,522,75,50,563,380,585,44,1030,111,211,179,0,2147,153,9028,293,89,2190,84,519,1050,16,13,100,450,937,44246,635,0,547,534,56,1452,17,9599,1972,19033,3063,204263,13766,20338,2327,76522,17259,1661,60737,23155,8975,5985,10992,15660,1850,21244,21430,39606,16867,3709,17499,1967,6302,5718,1816,39170,5108,68186,9813,2229,63207,7630,9503,30349,4026,2102,1805,9997,52641,1022068,7244,262,27831,17609,1927,19110,2098
1960,7,7328,585,12068,2046,127218,13012,15726,2071,42926,12029,1078,45011,18381,7307,6952,7705,8428,1676,15447,17214,33924,11142,2812,15665,870,5523,4394,1550,30770,4420,40352,8933,2352,52935,5988,7237,24792,3256,2170,1219,7486,39360,735065,4659,169,21452,13523,2395,13277,1889,145,40,902,110,37983,2482,258,0,5185,1025,448,10238,337,307,211,149,523,27,3750,2456,1642,2453,118,4686,121,321,902,44,4987,191,49439,269,397,2838,394,1266,3199,24,92,29,560,2650,152706,1233,0,1552,1045,38,2304,0,0,0,544,0,28954,1833,0,0,3641,811,375,8027,200,0,140,0,124,0,3736,2077,1417,1698,18,3849,0,107,277,0,2350,159,42954,68,93,1322,311,714,1514,0,0,0,156,2206,116955,1017,0,1353,658,0,1092,0,145,40,358,110,9029,649,258,0,1544,214,73,2211,137,307,71,149,399,27,14,379,225,755,100,837,121,214,625,44,2637,32,6485,201,304,1516,83,552,1685,24,92,29,404,444,35751,216,0,199,387,38,1212,0,7473,625,12970,2156,165201,15494,15984,2071,48111,13054,1526,55249,18718,7614,7163,7854,8951,1703,19197,19670,35566,13595,2930,20351,991,5844,5296,1594,35757,4611,89791,9202,2749,55773,6382,8503,27991,3280,2262,1248,8046,42010,887771,5892,169,23004,14568,2433,15581,1889
1960,8,8359,1316,14018,2608,151030,14235,14862,1836,45576,13341,1252,44890,14728,8247,6993,5821,9008,1877,15775,20463,31227,14445,2153,16143,1524,5092,4016,2058,29229,3422,46266,8852,2285,67621,7225,8105,22884,3826,2248,1179,7507,44967,796367,6925,245,23092,15586,1697,13818,2136,141,0,1766,25,44784,2577,1321,3020,6636,729,44,10300,608,292,285,171,707,31,3028,1178,1590,2457,373,1872,210,758,309,58,7745,226,39085,646,231,8341,1256,1433,2320,150,58,78,1951,4103,164475,481,0,2794,2065,0,2867,91,37,0,1493,0,33767,1553,923,3000,4673,315,0,5926,333,138,0,100,278,1,3028,657,1311,1387,288,1000,0,411,194,0,6452,0,32024,421,72,6664,1161,835,902,125,0,50,1614,3403,122700,0,0,2317,1505,0,1127,50,104,0,273,25,11017,1024,398,20,1963,414,44,4374,275,154,285,71,429,30,0,521,279,1070,85,872,210,347,115,58,1293,226,7061,225,159,1677,95,598,1418,25,58,28,337,700,41775,481,0,477,560,0,1740,41,8500,1316,15784,2633,195814,16812,16183,4856,52212,14070,1296,55190,15336,8539,7278,5992,9715,1907,18803,21641,32817,16902,2526,18015,1734,5850,4325,2116,36974,3648,85351,9498,2516,75962,8481,9538,25204,3976,2306,1257,9458,49070,960842,7406,245,25886,17651,1697,16685,2227
1960,9,8160,664,13882,2174,123170,11023,14634,3241,42228,12268,1319,37674,16257,7219,7924,6025,7371,1883,15801,16884,29378,16259,2955,14788,1987,4735,4613,1400,25113,3697,41614,7774,1887,48011,5968,6952,21113,3352,1947,1213,9180,41344,705241,4798,192,19985,13462,1545,13626,1468,115,233,2005,38,45505,5077,967,0,4306,3404,167,9730,672,230,199,543,500,55,2418,1900,929,2264,1555,949,51,660,1720,200,6446,463,47025,736,381,6934,104,2299,2409,148,55,100,844,3313,170046,494,0,4135,846,91,3461,35,27,156,1398,0,35634,4519,480,0,2527,3056,0,6605,501,85,50,198,54,35,2349,1455,619,1694,1518,643,0,421,1504,200,4597,199,42133,359,160,5636,55,1722,1105,120,30,28,366,3066,134779,40,0,3906,408,0,1937,0,88,77,607,38,9871,558,487,0,1779,348,167,3125,171,145,149,345,446,20,69,445,310,570,37,306,51,239,216,0,1849,264,4892,377,221,1298,49,577,1304,28,25,72,478,247,35267,454,0,229,438,91,1524,35,8275,897,15887,2212,168675,16100,15601,3241,46534,15672,1486,47404,16929,7449,8123,6568,7871,1938,18219,18784,30307,18523,4510,15737,2038,5395,6333,1600,31559,4160,88639,8510,2268,54945,6072,9251,23522,3500,2002,1313,10024,44657,875287,5292,192,24120,14308,1636,17087,1503
1960,10,7285,745,10084,2403,119485,10851,14974,2489,42165,11061,1335,42954,13747,6350,5062,5570,8011,1668,11173,19327,27708,14555,2677,12660,1667,6177,3412,2782,29879,2628,38863,7236,2092,47648,6702,6779,19610,3421,2113,1634,7591,36602,681405,4319,380,19710,13742,1666,12960,1334,174,0,2469,82,49125,2931,508,0,4406,3011,92,12072,766,339,199,830,1116,93,801,955,1549,4671,52,912,264,311,458,36,6998,223,30758,545,357,7773,778,775,3627,90,42,65,520,3733,156794,764,15,2787,1529,0,3660,10,106,0,1250,40,38710,2368,157,0,2467,2703,20,9719,416,0,0,610,721,0,745,676,1047,3445,0,504,65,70,334,0,5158,173,26118,238,75,5860,620,405,2125,0,0,40,180,3376,119666,276,0,2506,1015,0,1957,0,68,0,1219,42,10415,563,351,0,1939,308,72,2353,350,339,199,220,395,93,56,279,502,1226,52,408,199,241,124,36,1840,50,4640,307,282,1913,158,370,1502,90,42,25,340,357,37128,488,15,281,514,0,1703,10,7459,745,12553,2485,168610,13781,15482,2489,46570,14072,1426,55026,14513,6689,5261,6399,9126,1762,11974,20282,29258,19226,2729,13573,1931,6488,3870,2818,36877,2850,69621,7780,2449,55422,7480,7554,23238,3511,2155,1699,8112,40334,838198,5084,395,22498,15271,1666,16620,1344
1960,11,6651,239,11741,1846,101178,10468,12511,1895,38368,10491,1398,29214,12032,6135,4413,5366,6356,1351,12566,17686,22510,10395,2211,12314,1667,5420,3930,1590,24608,3043,36543,7365,847,35445,6606,5469,19871,3572,1729,1799,5897,34152,584862,3644,416,17349,9158,973,10478,757,164,133,1167,9,43818,3031,879,0,5100,908,66,12996,365,558,373,389,765,93,4402,1077,836,3553,81,1492,102,491,1433,43,5247,184,38907,827,116,7147,278,764,3655,330,51,232,1455,3193,159706,419,0,2152,616,0,4613,0,98,133,512,0,34623,2053,374,0,4016,751,0,9627,150,302,30,202,190,0,4106,802,646,3012,0,614,0,284,1165,0,2499,29,33621,451,0,5446,260,230,2299,150,18,186,1257,2683,122816,0,0,1985,267,0,2598,0,66,0,655,9,9195,978,505,0,1084,157,66,3369,215,256,343,187,575,93,296,275,190,541,81,878,102,207,268,43,2748,155,5286,376,116,1701,18,534,1356,180,33,46,198,510,36890,419,0,167,349,0,2015,0,6815,373,12908,1855,144996,13499,13390,1895,43468,11400,1463,42210,12397,6693,4786,5755,7121,1444,16968,18763,23345,13948,2292,13805,1768,5911,5363,1633,29856,3228,75451,8191,963,42592,6884,6233,23526,3903,1779,2031,7352,37345,744569,4063,416,19501,9773,973,15091,757
1960,12,4650,120,10109,1380,98416,6820,8644,1758,33453,7538,1129,21327,8928,3931,3172,3600,5599,808,7828,12247,14457,9989,1868,9726,857,3176,2611,1157,14789,1697,23858,6023,169,23748,5025,4882,10327,2671,1593,659,4749,29069,450246,2885,151,13064,8810,583,6164,652,167,0,1961,52,46265,2162,1650,0,6778,5967,65,12464,1212,305,413,989,886,18,3129,1129,284,3698,32,787,150,720,647,0,5284,363,26595,566,12,2164,761,681,3453,45,29,28,2182,3800,148025,235,0,222,1249,0,3958,70,81,0,1530,0,35873,1115,1300,0,5540,5735,0,10087,160,40,280,816,594,0,3069,843,214,3143,0,250,0,634,522,0,3367,296,22677,163,0,1198,748,301,2629,0,0,28,1907,3326,116237,0,0,75,942,0,2491,0,86,0,431,52,10392,1047,350,0,1238,232,65,2377,1052,265,133,173,292,18,60,286,70,555,32,537,150,86,125,0,1917,67,3918,403,12,966,13,380,824,45,29,0,275,474,31788,235,0,147,307,0,1467,70,4817,120,12070,1432,144682,8982,10294,1758,40230,13504,1194,33791,10140,4236,3585,4589,6485,826,10957,13376,14741,13688,1900,10513,1007,3895,3258,1157,20072,2059,50454,6589,181,25912,5786,5563,13781,2716,1622,687,6932,32868,598271,3121,151,13286,10059,583,10122,722
1961,1,7385,0,11708,1837,118483,9225,5485,989,39187,11479,797,18659,9055,3151,4248,2778,7049,350,10509,7186,13928,3936,2064,9404,1156,3380,3958,567,10326,2771,16405,6321,122,17909,6980,5183,8646,1351,1574,560,6328,41426,473635,4019,24,12309,11944,687,4972,556,248,25,2680,12,45665,2986,235,558,9383,2123,101,8817,207,343,461,283,721,0,2116,238,756,3155,91,1064,246,671,2029,30,2590,71,26322,440,20,1780,303,1751,1936,0,50,111,705,5121,133162,340,0,2285,835,0,1802,50,100,0,2048,0,35602,2367,0,533,8104,1742,0,5975,68,279,160,213,208,0,2074,94,709,2724,0,618,0,587,1341,0,1610,0,24173,0,0,1095,175,910,1150,0,0,77,451,4207,104213,43,0,2062,560,0,788,50,148,25,632,12,10063,619,235,25,1279,381,101,2842,139,64,301,70,513,0,42,144,47,431,91,446,246,84,688,30,980,71,2149,440,20,685,128,841,786,0,50,34,254,914,28949,297,0,223,275,0,1014,0,7632,25,14388,1848,164148,12211,5720,1547,48570,13603,897,27476,9262,3495,4709,3060,7770,350,12625,7424,14684,7091,2155,10467,1403,4051,5987,597,12916,2842,42728,6761,142,19689,7282,6934,10582,1351,1624,671,7033,46546,606797,4359,24,14594,12779,687,6774,606
1961,2,6377,55,11316,2642,112942,11774,4552,623,39495,10062,781,20544,8962,3370,4785,3272,6012,144,8256,4950,19411,5197,2144,8977,985,2836,3749,347,12078,3483,13279,6559,303,19674,5588,5689,8221,831,1378,543,5755,41593,467965,3696,88,11961,12640,605,5405,708,170,0,588,49,45817,2100,1115,0,4911,1055,88,22309,200,133,201,253,1594,0,2021,912,1519,3183,26,3483,304,438,1187,0,2989,175,16941,688,215,4181,682,791,2845,0,48,40,660,3837,137957,304,0,2813,987,148,1760,0,56,0,143,0,36462,1648,885,0,3646,682,0,19551,126,80,91,67,1276,0,1980,506,1411,2962,0,2596,0,342,657,0,2407,0,13914,417,160,3063,618,286,2660,0,20,40,255,2976,110072,0,0,2660,336,128,1020,0,114,0,445,49,9355,452,230,0,1265,373,88,2758,74,53,110,186,318,0,41,406,108,221,26,887,304,96,530,0,582,175,3027,271,55,1118,64,505,185,0,28,0,405,861,27885,304,0,153,651,20,740,0,6547,55,11903,2691,158759,13874,5667,623,44405,11118,869,42853,9162,3503,4986,3525,7606,144,10276,5862,20929,8380,2170,12459,1290,3274,4936,347,15067,3658,30220,7247,518,23856,6270,6481,11066,831,1425,583,6415,45429,605922,4000,88,14774,13627,753,7165,708
