dependent variable,reg_spec,n_lags,value,t-statistic,significance,LB (90.00% ci),UB (90.00% ci),p_val,index
United States,gar_sfh_crsp,12,0.005821979683390155,0.7581124507017075,0,-0.006826874689937134,0.018470834056717438,0.4486440224515209,0
Florida,gar_sfh_crsp,12,0.01840404939803049,1.8931145727525838,1,0.002391863338508323,0.03441623545755265,0.05876325651411851,1
Georgia,gar_sfh_crsp,12,0.00969067479702377,1.8907333753193576,1,0.001248820242552415,0.01813252935149512,0.059081102271729025,2
Ohio,gar_sfh_crsp,12,0.0066233683486980575,0.7156181808478256,0,-0.008621078799207451,0.021867815496603563,0.4744706422293672,3
Michigan,gar_sfh_crsp,12,0.005264116338861332,0.714733864771347,0,-0.0068668460191170875,0.017395078696839747,0.47501665535391036,4
Washington,gar_sfh_crsp,12,0.005147151451324964,1.5360447298728481,0,-0.0003720623872918152,0.010666365289941741,0.12498848194807,5
Illinois,gar_sfh_crsp,12,0.004452931497952284,1.1888842476802672,0,-0.0017161509935891299,0.010622013989493695,0.2348965936539229,6
Mississippi,gar_sfh_crsp,12,0.004107552710278135,0.6439329941771479,0,-0.006398911929120421,0.014614017349676689,0.5198341101492279,7
California,gar_sfh_crsp,12,0.0037333026318932816,0.3083998736463073,0,-0.01620522760461884,0.023671832868405393,0.7578717026610056,8
Wisconsin,gar_sfh_crsp,12,0.0034662334566050185,0.7532675930450335,0,-0.004112954239475105,0.011045421152685139,0.4515475624570513,9
New Mexico,gar_sfh_crsp,12,0.0026337712095957973,1.0146926108733545,0,-0.0016414410752323728,0.006908983494423966,0.3106101164643129,10
Alabama,gar_sfh_crsp,12,0.0025653343214198793,0.8673226965902764,0,-0.002306330454401378,0.007436999097241134,0.38606850260626846,11
Missouri,gar_sfh_crsp,12,0.0015277253949164266,0.45095916814438014,0,-0.004052120611430274,0.007107571401263125,0.6521614849999398,12
Minnesota,gar_sfh_crsp,12,0.0003976287951204297,0.10574534969147184,0,-0.005795793393874036,0.006591050984114893,0.915815311002389,13
Nebraska,gar_sfh_crsp,12,0.00025913698861180536,0.07642650144138861,0,-0.0053255593570381565,0.005843833334261765,0.9391020695520411,14
Colorado,gar_sfh_crsp,12,0.0002455287198737917,0.03925717656829598,0,-0.010055897927707037,0.010546955367454616,0.9686967701000673,15
North Dakota,gar_sfh_crsp,12,7.542297727783186e-06,0.12870600379063274,0,-8.897807761568835e-05,0.00010406267307125468,0.8976280081539718,16
Kansas,gar_sfh_crsp,12,-0.0001276373962219822,-0.026613908909051708,0,-0.008026842786325893,0.007771567993881925,0.9787754194493288,17
