dependent variable,reg_spec,n_lags,value,t-statistic,significance,LB (90.00% ci),UB (90.00% ci),p_val,index
United States,gar_sfh_crsp,12,-0.00025860404018106947,-3.262765368089623,1,-0.0003891500487607304,-0.00012805803160140857,0.001157993925334555,0
Connecticut,gar_sfh_crsp,12,0.023155324303814687,1.2780555440675287,0,-0.006685806446846489,0.05299645505447585,0.20166212203733958,1
Georgia,gar_sfh_crsp,12,0.01632737403966144,1.3232093881747777,0,-0.003996285203298949,0.03665103328262182,0.18620660705763847,2
Illinois,gar_sfh_crsp,12,0.007793139159524558,2.0008693167665923,1,0.0013779739799152134,0.0142083043391339,0.04580002757521373,3
Michigan,gar_sfh_crsp,12,0.007444852840139424,0.7924144067099805,0,-0.008029692260862347,0.02291939794114119,0.4283930234403617,4
Wisconsin,gar_sfh_crsp,12,0.0039016753182896224,0.6249397632291821,0,-0.006381496776165101,0.014184847412744343,0.532218401864271,5
Washington,gar_sfh_crsp,12,0.002227520755236346,0.6018431171673051,0,-0.0038685864714537834,0.008323627981926473,0.5474774198101868,6
California,gar_sfh_crsp,12,0.001815847492355898,0.17095166791812016,0,-0.015679402977523557,0.019311097962235346,0.8643121789667485,7
Alabama,gar_sfh_crsp,12,0.0018074371712657501,0.6593232588757719,0,-0.0027077831770472302,0.006322657519578729,0.5099094719260044,8
New Mexico,gar_sfh_crsp,12,0.00038593177098930967,0.2871735572114801,0,-0.0018275717686806418,0.0025994353106592602,0.7740661530916522,9
South Dakota,gar_sfh_crsp,12,-2.9913125484961278e-06,-4.043056498017287,1,-4.209926423982204e-06,-1.7726986730100525e-06,5.8740052325090275e-05,10
North Dakota,gar_sfh_crsp,12,-5.552853218988153e-06,-3.4922475443943735,1,-8.171791774543474e-06,-2.933914663432834e-06,0.0005096950902889752,11
Utah,gar_sfh_crsp,12,-9.696385658082497e-05,-3.8633308854977377,1,-0.0001383030606563549,-5.562465250529506e-05,0.00012245240220409848,12
Nebraska,gar_sfh_crsp,12,-0.00031571284217059075,-0.09944749013333604,0,-0.005544639584060764,0.00491321389971958,0.9208120313022996,13
Ohio,gar_sfh_crsp,12,-0.0006333110212635485,-0.21203846639714177,0,-0.005552760758946207,0.004286138716419109,0.8321400080255632,14
Colorado,gar_sfh_crsp,12,-0.0006773399346951511,-0.10682700115756595,0,-0.01112068867098816,0.009766008801597852,0.91495745874332,15
South Carolina,gar_sfh_crsp,12,-0.0006890718361624055,-3.45493271541609,1,-0.0010175746107433943,-0.00036056906158141676,0.0005843161239755812,16
Idaho,gar_sfh_crsp,12,-0.0007227983054038881,-0.3343989542331018,0,-0.004282932359607531,0.002837335748799753,0.738180737130548,17
Vermont,gar_sfh_crsp,12,-0.000838524921337979,-1.8276715514510826,1,-0.0015941945346507527,-8.285530802520545e-05,0.06803308179063006,18
Maryland,gar_sfh_crsp,12,-0.001025840596128228,-0.22524840443397257,0,-0.00852706736124788,0.006475386168991421,0.8218531184545224,19
New Hampshire,gar_sfh_crsp,12,-0.0010891777458308283,-3.019167215590351,1,-0.001683368279397725,-0.0004949872122639318,0.0026287445330293036,20
Texas,gar_sfh_crsp,12,-0.0011107079969003828,-1.4804581833540091,0,-0.0023464217777685757,0.0001250057839678096,0.1392101212185859,21
Rhode Island,gar_sfh_crsp,12,-0.0011258378395942125,-0.31579954984764125,0,-0.006997735406830982,0.004746059727642556,0.7522507129741363,22
Mississippi,gar_sfh_crsp,12,-0.0012188373895949522,-0.13717723537245827,0,-0.015853336366198248,0.013415661587008335,0.8909309545209543,23
Tennessee,gar_sfh_crsp,12,-0.0012298102302350958,-1.9213881505806112,1,-0.002284044499984885,-0.00017557596048530704,0.05509683399765053,24
New Jersey,gar_sfh_crsp,12,-0.0014413891839879516,-2.0860915588532163,1,-0.002579440982129136,-0.0003033373858467676,0.03733918184366747,25
Nevada,gar_sfh_crsp,12,-0.0014890377385502543,-3.0027284380748136,1,-0.0023058152729575434,-0.0006722602041429655,0.002772995477294371,26
Pennsylvania,gar_sfh_crsp,12,-0.0015519470530365406,-2.8522489478831843,1,-0.0024481443056423016,-0.0006557498004307801,0.004471752308677246,27
Kansas,gar_sfh_crsp,12,-0.0016784635425602101,-0.4667060306518741,0,-0.0076020214169904045,0.004245094331869982,0.6408583937741765,28
Montana,gar_sfh_crsp,12,-0.0019434173285659078,-0.932061207792533,0,-0.005377697907795964,0.0014908632506641472,0.35163280392728513,29
Oklahoma,gar_sfh_crsp,12,-0.00227142927247676,-1.2538180895864575,0,-0.005255291887564754,0.0007124333426112325,0.21033523668828225,30
West Virginia,gar_sfh_crsp,12,-0.0023247965303788945,-2.4542156099453387,1,-0.0038850184352646885,-0.000764574625493101,0.014366666068638345,31
Arkansas,gar_sfh_crsp,12,-0.0024368158242271086,-0.45159650515986915,0,-0.011324452043196792,0.0064508203947425714,0.6517024237509341,32
Iowa,gar_sfh_crsp,12,-0.0027719372158232073,-0.7118792337918843,0,-0.009185379653839506,0.0036415052221930888,0.4767815784184557,33
New York,gar_sfh_crsp,12,-0.003084865615066256,-2.4300000849421877,1,-0.005175817778578786,-0.000993913451553728,0.015354314951467218,34
North Carolina,gar_sfh_crsp,12,-0.0035449911334712245,-3.593720262593041,1,-0.005169735430275661,-0.001920246836666788,0.00034932513978813695,35
Maine,gar_sfh_crsp,12,-0.0035555444935298384,-0.9084969005067896,0,-0.010001641011486248,0.0028905520244265686,0.36393479844008914,36
Oregon,gar_sfh_crsp,12,-0.00366975968528214,-4.210307494912827,1,-0.005105374549702596,-0.0022341448208616846,2.8900509461138313e-05,37
Florida,gar_sfh_crsp,12,-0.0040280950799741685,-0.3175850783027982,0,-0.024918832022641307,0.016862641862692963,0.7508963352829017,38
Wyoming,gar_sfh_crsp,12,-0.004583646601657012,-3.0270166616978744,1,-0.007077727010596255,-0.00208956619271777,0.0025623194983537267,39
Louisiana,gar_sfh_crsp,12,-0.004908897441276444,-2.101993979246943,1,-0.00875540532785656,-0.0010623895546963288,0.035917791971155744,40
Minnesota,gar_sfh_crsp,12,-0.0049881570040782525,-1.1553531487133293,0,-0.012099301419955289,0.0021229874117987824,0.2483480943465819,41
Indiana,gar_sfh_crsp,12,-0.005103513442990985,-0.658196665037909,0,-0.017874596278637647,0.007667569392655671,0.5106325869492445,42
Delaware,gar_sfh_crsp,12,-0.005130808878840865,-3.092215622285947,1,-0.007863749550638894,-0.002397868207042838,0.0020672309263760624,43
Arizona,gar_sfh_crsp,12,-0.005936135003690614,-1.633731245206305,0,-0.011920764801169874,4.849479378864381e-05,0.10277411672698311,44
Kentucky,gar_sfh_crsp,12,-0.006217415916641102,-1.926567587873976,1,-0.01153286310208182,-0.0009019687312003862,0.054446335842289084,45
Massachusetts,gar_sfh_crsp,12,-0.006815494713007995,-1.2885281905945596,0,-0.015527489300220593,0.0018964998742046005,0.19799655570896624,46
Missouri,gar_sfh_crsp,12,-0.007338112856994975,-1.7271434813564313,1,-0.014336051094336583,-0.00034017461965337066,0.08459202773838381,47
United States,gar_sfh_crsp,9,-0.00019916666226985066,-2.8833814983423456,1,-0.0003129355683203722,-8.539775621932922e-05,0.004056432518924069,0
Connecticut,gar_sfh_crsp,9,0.019469752525940544,1.2725041123407874,0,-0.005730812662831954,0.04467031771471303,0.20362145616656746,1
Georgia,gar_sfh_crsp,9,0.02404996338163465,2.0376832243511522,1,0.004610387139208749,0.04348953962406055,0.04196148489744944,2
Illinois,gar_sfh_crsp,9,0.009341978518039471,2.4026415900049196,1,0.0029378665262894416,0.0157460905097895,0.016539493205139033,3
Michigan,gar_sfh_crsp,9,0.0105354773576081,1.1943643015481087,0,-0.0039932123336220374,0.025064167048838234,0.23274471897343596,4
Wisconsin,gar_sfh_crsp,9,0.0045609680023827315,0.722693441513619,0,-0.005833731912685767,0.014955667917451227,0.47011241417551775,5
Washington,gar_sfh_crsp,9,0.002638294699948548,0.7457856224539916,0,-0.003188347402110902,0.008464936802007998,0.45605017733580855,6
California,gar_sfh_crsp,9,0.006835771582367069,0.5539169762929569,0,-0.013490227941204743,0.027161771105938873,0.5798146064003733,7
Alabama,gar_sfh_crsp,9,0.003101789348246743,1.0863033706831016,0,-0.0016011590908054409,0.007804737787298925,0.27772304914844703,8
New Mexico,gar_sfh_crsp,9,0.0010424600860841266,0.7957881543997352,0,-0.0011151402923414593,0.0032000604645097117,0.4264280665995459,9
South Dakota,gar_sfh_crsp,9,-2.631147813730102e-06,-4.522549553225225,1,-3.5893804468220653e-06,-1.6729151806381393e-06,7.1882059662353726e-06,10
North Dakota,gar_sfh_crsp,9,-4.124439050677096e-06,-3.2076906292547034,1,-6.242222056419544e-06,-2.006656044934648e-06,0.0013997186762109148,11
Utah,gar_sfh_crsp,9,-6.372587789739976e-05,-2.6609335137730636,1,-0.00010317077685789437,-2.4280978936905162e-05,0.007973109920491384,12
Nebraska,gar_sfh_crsp,9,0.0008861600456664795,0.31518047861585463,0,-0.0037447025882331956,0.005517022679566153,0.7527196452242548,13
Ohio,gar_sfh_crsp,9,-0.0012005717773771619,-0.4383706069095647,0,-0.0057113943752935365,0.003310250820539211,0.66125446454814,14
Colorado,gar_sfh_crsp,9,-0.0018686363574576723,-0.3637383972171916,0,-0.010330084360249955,0.006592811645334606,0.7161644665841576,15
South Carolina,gar_sfh_crsp,9,-0.00049286877743934,-2.7731787654093396,1,-0.0007855955774488854,-0.0002001419774297948,0.005700628186579237,16
Idaho,gar_sfh_crsp,9,-0.0012128898718354241,-0.6223196028162828,0,-0.004422977829799701,0.001997198086128851,0.5339367297896405,17
Vermont,gar_sfh_crsp,9,-0.000824456465290494,-1.8427229633009163,1,-0.001561370324444453,-8.754260613653508e-05,0.06579703489719879,18
Maryland,gar_sfh_crsp,9,-0.002089689193079187,-0.4963809936027934,0,-0.009023557627403563,0.004844179241245186,0.6197832639420797,19
New Hampshire,gar_sfh_crsp,9,-0.0006687456271447835,-1.8511630516566195,1,-0.0012637570812591306,-7.373417303043665e-05,0.06457198760265159,20
Texas,gar_sfh_crsp,9,-0.0007031669166341029,-1.0459035411088462,0,-0.0018104937910900462,0.0004041599578218399,0.29597076245334875,21
Rhode Island,gar_sfh_crsp,9,0.00022245276674707722,0.06928628713538977,0,-0.005065646105060636,0.005510551638554787,0.9447817569046402,22
Mississippi,gar_sfh_crsp,9,-0.0013230621537686123,-0.15160473692051674,0,-0.015697025058034005,0.013050900750496773,0.8795428830880097,23
Tennessee,gar_sfh_crsp,9,-0.0009585158869835709,-2.1152625256801536,1,-0.0017048685458272885,-0.0002121632281398535,0.03476433395925027,24
New Jersey,gar_sfh_crsp,9,-0.0012752219835574087,-2.0554197275632835,1,-0.0022970888431099058,-0.00025335512400491227,0.04021322275177752,25
Nevada,gar_sfh_crsp,9,-0.0009854743499674297,-2.0337844206540034,1,-0.001783559909732702,-0.00018738879020215754,0.04235430935981732,26
Pennsylvania,gar_sfh_crsp,9,-0.0008796218719486774,-1.9077304113192455,1,-0.0016390524171026842,-0.00012019132679467071,0.05683972053320585,27
Kansas,gar_sfh_crsp,9,-0.0015440349428343914,-0.5591079036852499,0,-0.0060925594311249665,0.0030044895454561815,0.5762689729266546,28
Montana,gar_sfh_crsp,9,-0.0017788380496798562,-0.9818541692455739,0,-0.0047628356265771495,0.0012051595272174359,0.3265148420595514,29
Oklahoma,gar_sfh_crsp,9,-0.0014289274097734968,-0.8545721282424773,0,-0.004182968952250222,0.001325114132703227,0.3930838110657948,30
West Virginia,gar_sfh_crsp,9,-0.0020847084873283827,-2.3079625368879157,1,-0.003572443636382556,-0.0005969733382742103,0.021295275760220278,31
Arkansas,gar_sfh_crsp,9,0.0016624107957105491,0.33593303404052727,0,-0.006488284960636356,0.009813106552057452,0.7370231948625929,32
Iowa,gar_sfh_crsp,9,-0.0006071123785845278,-0.1598077351703052,0,-0.006864316684773983,0.005650091927604925,0.87307916412388,33
New York,gar_sfh_crsp,9,-0.0028179589653802486,-2.8243254842501013,1,-0.0044613047842831845,-0.0011746131464773135,0.004874377515782902,34
North Carolina,gar_sfh_crsp,9,-0.0021853971999828566,-2.784271791153393,1,-0.0034781866495513657,-0.000892607750414348,0.005511367075464069,35
Maine,gar_sfh_crsp,9,-0.004054019685059585,-1.0987237663362839,0,-0.010131259558233439,0.0020232201881142647,0.27227069187620123,36
Oregon,gar_sfh_crsp,9,-0.0026308792647702205,-4.442157124613243,1,-0.0036063540463350864,-0.0016554044832053551,1.0366703230513252e-05,37
Florida,gar_sfh_crsp,9,-0.006079535153223098,-0.5579789476054485,0,-0.024025284799213956,0.011866214492767754,0.5770392269882381,38
Wyoming,gar_sfh_crsp,9,-0.004621466037913474,-3.10812373293236,1,-0.0070704757676792514,-0.0021724563081476976,0.0019599164105792433,39
Louisiana,gar_sfh_crsp,9,-0.002481184430431642,-1.1753983301226612,0,-0.005958010954395525,0.0009956420935322394,0.2402396411445542,40
Minnesota,gar_sfh_crsp,9,-0.0031671067507281943,-0.9098544392730791,0,-0.008900342864256928,0.002566129362800538,0.3632160721860158,41
Indiana,gar_sfh_crsp,9,-0.005236518890118823,-0.7765431800834999,0,-0.0163432461891346,0.005870208408896948,0.4376936772851301,42
Delaware,gar_sfh_crsp,9,-0.005217181052024258,-3.163914511892984,1,-0.007933121306653936,-0.0025012407973945797,0.0016247656222627693,43
Arizona,gar_sfh_crsp,9,-0.006477968759004855,-2.0746698327986564,1,-0.01162076006943372,-0.001335177448575993,0.03838621386760299,44
Kentucky,gar_sfh_crsp,9,-0.004866051241877943,-1.619353247641337,0,-0.009815355189155026,8.325270539913821e-05,0.10582689777844134,45
Massachusetts,gar_sfh_crsp,9,-0.005205870006954015,-1.131667446859519,0,-0.012782630171864097,0.0023708901579560637,0.258166279564499,46
Missouri,gar_sfh_crsp,9,-0.003383944720457135,-0.9428734366884769,0,-0.009295188955029256,0.002527299514114983,0.3460746957650267,47
United States,gar_sfh_crsp,6,-0.00020826817228614152,-3.5718509560924656,1,-0.00030430407366977615,-0.00011223227090250691,0.0003788172751588714,0
Connecticut,gar_sfh_crsp,6,0.01791164781802728,1.700728362806692,1,0.0005654367376287349,0.03525785889842582,0.0894394258268858,1
Georgia,gar_sfh_crsp,6,0.009214068162767573,1.1513522828651108,0,-0.003966897665723107,0.022395033991258247,0.24998156690979623,2
Illinois,gar_sfh_crsp,6,0.00789038461255801,2.027108194588228,1,0.0014793918924963121,0.014301377332619705,0.04303091955683702,3
Michigan,gar_sfh_crsp,6,0.011916404275235992,1.2342594205339061,0,-0.003985268701502322,0.0278180772519743,0.2175216343374038,4
Wisconsin,gar_sfh_crsp,6,0.0063162494116799014,1.0808062237600893,0,-0.003309077169099388,0.015941575992459187,0.28015660271650544,5
